message,label,flagged
stupid BOT,1.0,True
what an idiot team,1.0,True
fuck off',2.0,True
fuck you meds,1.0,True
YOU LITERAL PIECES OF SHIT,1.0,True
do your job BZ Idiot and dont push me,0.0,True
damn it ^^,0.0,True
td stupid,1.0,True
stupid,1.0,True
STUPID TEAM,1.0,True
ho ri is to stupid,1.0,True
fuck mate,1.0,True
705 idiot,1.0,True
youre idiot,1.0,True
Idiot,1.0,True
idiot,1.0,True
fuck u skoda..,1.0,True
STUPID MEDS,1.0,True
idiot,0.0,True
How the hell did the T110E3 die?,0.0,True
my shot missed the damn BC,2.0,True
idiot,1.0,True
fuck u kunze,1.0,True
fuck u kunze,1.0,True
idiot,1.0,True
da fuck,0.0,True
slow ass tank,1.0,True
IDIOT PZ,1.0,True
idiot standard,1.0,True
dumb,1.0,True
curve ball fuck,0.0,True
pls report that t103 for beein dumb af,0.0,True
fuck you,1.0,True
idiot 4005,0.0,True
idiot,0.0,True
shit,2.0,True
our scouts are shit!,1.0,True
fuck,2.0,True
fking shit game.,2.0,True
idiot light,1.0,True
spic you are dumb fucking cunt,1.0,True
total idiot,0.0,True
gg dumb,0.0,True
idiot 112,1.0,True
go cap idiot,1.0,True
fuck,2.0,True
gg idiot E5,1.0,True
fuck you,1.0,True
idiot hevy,1.0,True
*** idiot type 5 heavy,1.0,True
well damn,0.0,True
e3 why you stupid cunt,1.0,True
look map stupid dements,1.0,True
all stupid campers,1.0,True
SU - 101 YOU ARE STUPID TD IDIOT OMFG,1.0,True
STUPID TD IDIOT SU 101,1.0,True
su move idiot,0.0,True
su you must move idiot,1.0,True
idiot 705 a uninstal demente,1.0,True
fuck yes,0.0,True
parking idiot,0.0,True
stock shit for me lol,0.0,True
damn lol,0.0,True
su 130 dont push me idiot,1.0,True
aaa shit,2.0,True
idiot,1.0,True
holy fuck how were those bouncing,0.0,True
overmatching the ass,0.0,True
shit,2.0,True
"Vipera please, fuck off",1.0,True
last idiot with few brain cells,1.0,True
FUCK YOU,1.0,True
damn afk elc,2.0,True
just die you cant pen mauses ass,1.0,True
HELL YEAH!,0.0,True
kiss my ass,1.0,True
k??ss your s??ster ass yes,1.0,True
stop pinging you idiot,1.0,True
stupid retard,1.0,True
idiot,1.0,True
bc12 idiot,1.0,True
their arty has stupid good view range,0.0,True
RNG can kiss my ass today,0.0,True
idiot 0tp,1.0,True
idiot team,1.0,True
fuck,2.0,True
how died that idiot camper -44?,0.0,True
big idiot,1.0,True
got shit players,1.0,True
fuck this awkward ass bullshit battle,1.0,True
unistal idiot leopard,1.0,True
"stupid, stupid twat",1.0,True
why the fuck you take tank destroyer position and dont do anything,1.0,True
move idiot on P.43,1.0,True
shit map,2.0,True
AMX you are fucking idiot,1.0,True
fuck you stupid kid,1.0,True
coward ass,1.0,True
ffss u stupid ebr cunt,1.0,True
why you play so stupid? with 13 57,1.0,True
GRILE IDIOT,1.0,True
GG STUPID GRILLE,1.0,True
we are stuck here u idiot,1.0,True
you didn't do shit pawlack,1.0,True
"yes, up your ass",1.0,True
up your ass,1.0,True
IDIOT,1.0,True
damn,2.0,True
rng shit,1.0,True
rng fuck off,1.0,True
help idiot,1.0,True
they damn stop for sniping :(,2.0,True
fuck off,2.0,True
what was stupid,0.0,True
good fucking shit,1.0,True
fuck you ebr,1.0,True
spot you fcking idiot,1.0,True
he i s a complete idiot,1.0,True
fuck me,2.0,True
arty idiot,1.0,True
idiot,1.0,True
idiot,1.0,True
fuck zou mom E3,1.0,True
shit reset if possible,1.0,True
well fuck,2.0,True
stupid team,1.0,True
fucking idiot somua,1.0,True
idiot mka,1.0,True
idiot,1.0,True
go idiot,1.0,True
idiot,1.0,True
fuck game,2.0,True
lol shit team,1.0,True
move ur ass 260,0.0,True
idiot,1.0,True
what to hell idiots,1.0,True
"T 37 wtf you doing, idiot",1.0,True
cobra you idiot,1.0,True
crap,0.0,True
I play like shit I hit nothing,2.0,True
fuck rng,2.0,True
shit show,1.0,True
damn ran out of ammo,0.0,True
fuck u tomato reported,1.0,True
report idiot kid,1.0,True
gg 2 bed camper idiot bot,1.0,True
damn must have been the AMX's last shot in the mag,0.0,True
useless imbecile loser shit uninstall,1.0,True
shit,2.0,True
You still dont know how to play this game??? IDIOT???,1.0,True
kill that scout damn,1.0,True
Fucking idiot.,1.0,True
God damn they see me at E9!,0.0,True
God damn they see me at E8!,0.0,True
God damn they see me at E7!,0.0,True
God damn they see me at E7!,0.0,True
but ppl are stupid,0.0,True
ppl who rush are stupid there the ones who die first,0.0,True
idiot,1.0,True
bret panther blok 2 lt idiot,1.0,True
fuck arties they suck why are they even in the game,1.0,True
this shit suck kill all your selves this whole game shouldve been dead a long time ago,1.0,True
fuck you,1.0,True
all side shit,1.0,True
who was that blcoking idiot,1.0,True
fuck that,2.0,True
take the damn shot arty,0.0,True
"fuck me, fucking apes",2.0,True
fck idiot,1.0,True
fuck,2.0,True
DAMN i HATE THIS MAP,0.0,True
idiot,1.0,True
idiot here,1.0,True
idiot,1.0,True
idiot,1.0,True
fukin idiot jokerz,1.0,True
idiot,1.0,True
stupid rat,1.0,True
FK YOU JACKSON IDT PIECE OF SHIT,1.0,True
IDIOT,1.0,True
are you stupid?,0.0,True
fku idiot noobs,1.0,True
idiot,1.0,True
"i dont need a shitlist, i already know whos shit",1.0,True
move ass omg,1.0,True
fuck,2.0,True
need fuck him in back,1.0,True
fuck u elc,1.0,True
bitch,1.0,True
russia Idiot Maus??,1.0,True
9tier FULL IDIOT!!!,1.0,True
fuck u,1.0,True
fuck artys,2.0,True
Fetz for candy ass of the YEAR!!,2.0,True
blocked bitch,1.0,True
crap lol,0.0,True
why the fuck am I doing the spotting on the heay line? come on team,1.0,True
fuck you family stupid retards,1.0,True
Damn.,0.0,True
"that was a stupid move, sry... but is true",2.0,True
the fuck are you doing my,1.0,True
fuckin idiot,1.0,True
If you dont think its rigged? You beyard stupid!!!,1.0,True
omg stupid goooooooooooooooooooooooo,1.0,True
IS-7 you are imbecil or what a fuck?,1.0,True
dumb fuck leopta,1.0,True
holy shit,1.0,True
damn,0.0,True
and you are an idiot to go alone,1.0,True
skoda go fuck your retard camper mother LOOOSER,1.0,True
you are idiot,1.0,True
idiot kpz,1.0,True
their bc 25 t ap understood this but you are too stupid to do so,1.0,True
this gun is shit sometimes,2.0,True
God damn they see me at E9!,0.0,True
God damn they see me at E8!,0.0,True
God damn they see me at E7!,0.0,True
God damn they see me at E7!,0.0,True
E50 you stupid idiot bot,1.0,True
so fuck u,1.0,True
stupid son of drug addicts,5.0,True
bravo idiot,1.0,True
stop ruining my shots you dumb bastard,1.0,True
"damn, full of bots. i am afk",1.0,True
nowq you see you stupid animals?,1.0,True
"but stupid you are, since you were excusing him",1.0,True
nice idiot,1.0,True
who is idiot??,1.0,True
Thanks Idiot Löwe driver,2.0,True
shit,2.0,True
idiot,1.0,True
too late idiot chiken VK,1.0,True
what the actual fuck,2.0,True
ur idiot,1.0,True
move ur ass,1.0,True
shit map,2.0,True
"borrasque, EAT SHIT ASSHOLE!!!!",1.0,True
fuck yeah,2.0,True
good shit,1.0,True
bunch of stupid campers,1.0,True
They're in the damn trees,0.0,True
oh stop... it's wg saying fuck you for spending money over christmas.,1.0,True
nah your idiot,1.0,True
damn,0.0,True
fuck sake,2.0,True
140 absolut idiot,1.0,True
true damn he needs to help decap,0.0,True
fuck this game,2.0,True
shit,2.0,True
13 105 idiot?,1.0,True
"damn, we have 3 spg's!?",0.0,True
idiot strvz,1.0,True
257 you are real shiny ass motherfucker,1.0,True
stfu idiot,1.0,True
u can t do shit,1.0,True
sniper heavy moron st2 says move your ass,1.0,True
BURAK IDIOT,1.0,True
"idiot team, no one in middle",1.0,True
man fuck this game,2.0,True
just fuck this bullshit game man,2.0,True
fuck u,1.0,True
ur a total idiot,1.0,True
all idiot,1.0,True
leopard total idiot,1.0,True
idiot,1.0,True
thats so stupid,0.0,True
"skycancer, fuck yeah",2.0,True
idiot,1.0,True
i GOTTA POOP SO BAD. tHIS IS HELL,0.0,True
idiot k91,1.0,True
go ass pussy and suck your father dickk..,1.0,True
all angry as fuck xd,1.0,True
vz stupid idiot,1.0,True
killed 4 player and the team is too stupid to help,0.0,True
fuck do our scouts suck assholes,1.0,True
fu idiot,1.0,True
fuck,2.0,True
lowe idiot delete,1.0,True
atck delete idiot,1.0,True
go to garage idiot,1.0,True
idiot,1.0,True
fuck this game,2.0,True
fuck team,1.0,True
what a stupids shit to do,1.0,True
idiot ebr,1.0,True
calling you an idiot for a shit play that got me killed is called crying now?,1.0,True
if you don't give a shit about your teammates,1.0,True
yet you are shit talking someone for calling you retarded,1.0,True
thx shit scout,1.0,True
so stupid,0.0,True
You still dont know how to play this game??? IDIOT???,1.0,True
matchmaking its bigest shit in the world,1.0,True
why we have 2 shit lights??,1.0,True
holy shit,1.0,True
damn,0.0,True
bunch of stupid campers,1.0,True
spoter idiot,1.0,True
Timber idiot spottt,1.0,True
our arty idiot,1.0,True
ok their t50 is dumb thank god,0.0,True
idiot,1.0,True
op piece of shit,1.0,True
dumb fucks cover both flanks,1.0,True
Thanks FOCH stupid,1.0,True
idiot,1.0,True
boring ass,2.0,True
idiot,1.0,True
13 90 105 ure piece of shit,1.0,True
and that piece of shit 13 105 is camping behind meds,1.0,True
13 105 u son of a inbred shit,1.0,True
piece of shit,1.0,True
low eff crap,1.0,True
idiot,1.0,True
so i should die like top tier shit sconq,2.0,True
that tank is shit,2.0,True
this tank is total crap,2.0,True
got shit players,1.0,True
ebr wake up idiot,1.0,True
loser idiot shit of player,1.0,True
stupid asshole Foch B,1.0,True
spot idiot,1.0,True
idiot,1.0,True
eat shit,1.0,True
NO MY LEVEL - I go jumping and fuck you WG :P,1.0,True
sad fuck,2.0,True
tiger u dumb fk xd,1.0,True
fuck off,2.0,True
buz idiot spot,1.0,True
idiot scouts,1.0,True
klicking bitch is always allowed to hit me and i miss and miss and dont pen,1.0,True
stupid KV3,1.0,True
idiot mediums move we lose,1.0,True
stfu im spotted you idiot,1.0,True
fuck rng 4 x zero omg,1.0,True
fuck,2.0,True
fuck yuo,1.0,True
idiot,1.0,True
idiot td,1.0,True
i missed we lose td idiot,2.0,True
2 fuck camper heavys reportet,1.0,True
fuck you clickers,1.0,True
well shit,1.0,True
thx idiot,2.0,True
ratana fuck you,1.0,True
mfkr idiot,1.0,True
777 has their ass sticking out,0.0,True
idiot,1.0,True
MOVE TYPE 4 idiot,1.0,True
amx dont be an idiot and play like heavy,1.0,True
idiot team,1.0,True
GOOD SHIT SKORP,1.0,True
bat you idiot,1.0,True
idiot,1.0,True
udes idiot,1.0,True
T 100 lt idiot,1.0,True
i have in ass your 3 mark,2.0,True
your big ass block us,1.0,True
stupid,1.0,True
bloo idiot,1.0,True
cap fuck this,1.0,True
idiot light,1.0,True
"fuck off m41,",1.0,True
fuck off 705,1.0,True
fuck your mother,1.0,True
very very bitch players,1.0,True
Im just fucking laughing how fucking braindead useless pieces of shit exists,1.0,True
Idiot mongoloid braindead fucks,1.0,True
gj idiot,2.0,True
stupid line 2 campers,1.0,True
fucking stupid cjar,1.0,True
"the mle is not parking that bad he expects the enemy to push forward..if YOU as scout push forward, you fuck up your mates that ALSO need to",1.0,True
at least trace enemy arties and focus em..which idiot drives arty inthis mode -.-,1.0,True
"if you would have a ass arty, you would scout..what do you have to loose?",1.0,True
nice support idiot,1.0,True
FUCK OFF,2.0,True
i didnt do shit,1.0,True
THIS ARTY S .SHIT,1.0,True
idiot,1.0,True
idiot team,1.0,True
team idiot,1.0,True
just idiot-teams failed to protect their arty,1.0,True
Altaiir123 fucking moron fuck you thx for help fucking pussy,1.0,True
you are fast but stupid,1.0,True
idiot patton,1.0,True
fuck team,1.0,True
dumb T28 htc,1.0,True
amx dumb,1.0,True
crap,0.0,True
damn med sitting in the back.....,2.0,True
fuck of and kill that HWK,1.0,True
FUCK NOOB TEAM,1.0,True
fuck noobs,1.0,True
fuck u all,1.0,True
everyone &lt;50% winrate: FUCK OFF,1.0,True
fuck uall,1.0,True
60 tp idiot,1.0,True
matilda moron fall back idiot,1.0,True
fuck you bot,1.0,True
b2 idiot firing he now,1.0,True
idiot,1.0,True
fuck off bot...,1.0,True
stupid idiots,1.0,True
idiot,1.0,True
stupid heavy,1.0,True
kibg idiot,1.0,True
fucking idiot,1.0,True
damn xd,0.0,True
fuck it,2.0,True
"idk why stb 1, char futur and foch are so stupid to move this far up when i spot",1.0,True
that fucking arty shit...,1.0,True
"hummels, shit the oni",1.0,True
defenfer idiot,1.0,True
conqueror go to bz idiot,1.0,True
holy shit,1.0,True
new shit,1.0,True
what the fuck is a Hi Ro,1.0,True
idiot,1.0,True
idiot,1.0,True
fuck of,2.0,True
sooo f ing DUMB,1.0,True
you are certainly dumb enough to qualify,1.0,True
fuck arty,2.0,True
fuck them,1.0,True
not like an idiot,1.0,True
"nice campiong, idiot 277",1.0,True
total idiot with 277,1.0,True
the fuck M6,1.0,True
emil idiot,1.0,True
idiot,1.0,True
f..idiot kunze,1.0,True
dedly shit,1.0,True
go find f..arty idiot,1.0,True
go fuck yourself,0.0,True
and i thing u are total idiot,1.0,True
coward shit green stat kreten,1.0,True
report idiot bot 705A,1.0,True
fucking idiot 45 tp,1.0,True
Tiger P you retarded idiot,1.0,True
Kiss MY STINKY ASS BASTARD wg,1.0,True
gg we have idiot amx,1.0,True
idiot,1.0,True
FUCK TEASM,1.0,True
HELL YEAH:)I,0.0,True
fuck elc,2.0,True
get the fuck to town,2.0,True
where the fuck are my shots going wg,1.0,True
gj idiot,2.0,True
idiot,1.0,True
kill tje idiot,1.0,True
fuck you 705,1.0,True
top idiot in top tank,1.0,True
stupid monkey go away,1.0,True
hellcat great idiot,1.0,True
go spot elc idiot,1.0,True
idiot,1.0,True
idiot,1.0,True
idiot team,1.0,True
fuck you,1.0,True
idiot,1.0,True
dumb bot,1.0,True
idiot,1.0,True
light idiot,1.0,True
fuck you,1.0,True
REPORT THIS IDIOT,1.0,True
FUCKING 1.4K WN8 IDIOT,1.0,True
IDIOT,1.0,True
BITCH,1.0,True
ha ha ha idiot,1.0,True
fuck this 3 idiots,1.0,True
well crap,2.0,True
and shit,1.0,True
holy fuck this gun wont work,2.0,True
"Na I get that RNG is a bitch, but this tank in particular fucking BLOWS man",1.0,True
heavies are always a little more stupid,1.0,True
fuck that],2.0,True
stii omg move idiot,1.0,True
moove idiot,1.0,True
idiot,1.0,True
fuck all premium ammo users,1.0,True
leo idiot,1.0,True
retard shit progetto,1.0,True
idiot cs,1.0,True
cap idiot team cap,1.0,True
what thje fuck is this,1.0,True
report e50 idiot,1.0,True
holy shit,1.0,True
wtf stupid bot BZ,1.0,True
camper idiot,1.0,True
bot shit team,1.0,True
idiot,1.0,True
t100 we cant see shit there,1.0,True
"122 TM is a cool tank, but the aim is ass",1.0,True
omg - next stupid kids team :-/,1.0,True
who is now the stupid kid??,1.0,True
IDIOT,1.0,True
wheres that damn tort,0.0,True
dumb,1.0,True
idiot campers,1.0,True
hell yea,0.0,True
idiot,1.0,True
idiot ebr,1.0,True
bot shit ebr,1.0,True
FV U FKN USELESS IDIOT,1.0,True
idiot,1.0,True
idiot,2.0,True
idiot report,1.0,True
idiot,1.0,True
60TP idiot makes cover for the enemy brainless retard,1.0,True
good comeback abc kicked ass,1.0,True
why would youy idiot go there way,1.0,True
idiot lemmings,1.0,True
you are more stupid,1.0,True
hoyl shit,1.0,True
"he wont, setter is an idiot.",1.0,True
ur actually dumb,1.0,True
you fucking idiot,1.0,True
hes just being an ass,1.0,True
idiot light report,2.0,True
FUCK OFF,2.0,True
skoda idiot???,1.0,True
our lites were pure shit,1.0,True
stb1 idiot,1.0,True
lt idiot,1.0,True
useless idiot lt,1.0,True
arta also idiot,1.0,True
idiot jebaniy char futur,1.0,True
what the fuck are you doing med,1.0,True
fuck,2.0,True
fuck you wg,1.0,True
idiot botcamper,1.0,True
move idiot camper,1.0,True
damn,0.0,True
idiot??,1.0,True
arty idiot,1.0,True
that was my dumb ass,0.0,True
wow our strv is stupid as f,1.0,True
and even then u cant hit shit,1.0,True
everyone stfu god damn,1.0,True
LEOPARD U ARE THE BIGGEST RETARD SHIT IN THIS GAME,1.0,True
leave this stupid hummel to me,1.0,True
idiot somua,1.0,True
go spot idiot,1.0,True
rooco fuck yue mommy,1.0,True
fuck you progetto :))),1.0,True
idiot,1.0,True
full idiot,1.0,True
fuck yue mommy,1.0,True
idiot))),1.0,True
panterra idiot,1.0,True
shit,2.0,True
idiot mediums,1.0,True
damn im not playing my best tank at all tonight :(,0.0,True
fuck off from here,2.0,True
stupid bot,1.0,True
hell yea,0.0,True
fuck u all,1.0,True
shit high ping,0.0,True
why deo u push him back is6 idiot,1.0,True
holy shit,2.0,True
IKV IDIOT NO CAP,1.0,True
yayyyyy shit light yet again,1.0,True
shit char,1.0,True
e50 IDIOT totla,1.0,True
shit bro,1.0,True
dont cut the tree idiot,1.0,True
fuck you team,1.0,True
rhm idiot,1.0,True
"stupid arty , whewre u shot?W",1.0,True
"stupid arty, why u didnt shot to LT ????????",1.0,True
fuck,2.0,True
ALWAYS IDIOT NOOBS IN THE MORNING,1.0,True
conqueror idiot,1.0,True
fuck you snipers,1.0,True
what the fuck,2.0,True
It‘s a damn miracle I tell ya,0.0,True
what an idiot,1.0,True
at idiot monkey,1.0,True
"idiot , monkey reported",1.0,True
scorpion g stupid,1.0,True
go fuck ur self,1.0,True
DAMN GG,2.0,True
YOU TO FUCKIGN STUPID TO BE AS SMART AS A MORON I TAKE IT BACK,1.0,True
holy fuck i just noticed where we all went,0.0,True
IDIOT,1.0,True
punk ass t54 lol,0.0,True
"bc idiot move to C0, shot carnarvon",1.0,True
if ur gonna be a bitch,1.0,True
can u take fingers from the ass and shot?,2.0,True
shit happens,2.0,True
i die like idiot and i just play next game,2.0,True
excelsior get the fuck back and let him come up so we can both shoot?,1.0,True
IDIOT!,1.0,True
IDIOT TD-5!,1.0,True
sit here and let yall fuck em up,2.0,True
useles idiot cant spot F5 passage,1.0,True
pluton1 total idiot,1.0,True
obj idiot,1.0,True
"No, you all just Sucked Ass is all...",1.0,True
T28 idiot uninstull game free bot,1.0,True
"idiot yamato, thx for bloking me",1.0,True
fuck,2.0,True
rigged shit,1.0,True
fuck you man,1.0,True
fuck idiots,1.0,True
just dumb,1.0,True
shit,2.0,True
fck spoter spot idiot,1.0,True
hahaha you are suck stupid kid,1.0,True
idiot xDDD,1.0,True
fuck idiots,1.0,True
just dumb,1.0,True
go fuck yourself behind,1.0,True
ı know how to play idiot,2.0,True
i dont give a fuck to talk to youy anymore,1.0,True
under is shit,1.0,True
this is stupid game,2.0,True
sure idiot,1.0,True
you are idiot,1.0,True
camo crew and exhaust and sum shit,0.0,True
idioti no help fuck red team,1.0,True
thanks stupid tomato platoon,1.0,True
damn,2.0,True
rest dump shit,1.0,True
move idiot,1.0,True
fuck this shit,1.0,True
scared the shit out of me,0.0,True
GO PLAY IDIOT,1.0,True
damn,2.0,True
move your ass,1.0,True
fuck u guys,1.0,True
what the hell,0.0,True
useless shit Kunze,1.0,True
idiot,1.0,True
idiot heavy,1.0,True
damn xD,2.0,True
fuck team,1.0,True
what a stupids shit to do,1.0,True
stupid ru,1.0,True
277 idiot,1.0,True
move youir ass retard,1.0,True
idiot t20/2,1.0,True
ngl. griniding for tanks is pretty ass.,0.0,True
stupid players,1.0,True
99% im right you stupid player never disappount,1.0,True
"i think that is why u playin arty, to talk shit right?",1.0,True
team of shit,1.0,True
fuck de caranavan[,1.0,True
fuck bot,1.0,True
stupid campers,1.0,True
Or your stupid strategy didnt,1.0,True
T-100lt p[iece of shit,1.0,True
ok eat shit,1.0,True
But he cant play cause he‘s dumb af,1.0,True
hoyl shit,2.0,True
stupid top tier heavys ...,1.0,True
useless idiot team,1.0,True
Fuck this shit rng here,2.0,True
idiot Maus,1.0,True
DAMN PLATOON CHAT,2.0,True
Grille 15 big idiot,1.0,True
fuck it,2.0,True
useless bot ass idiots,1.0,True
stupid animals,1.0,True
IS-4 idiot ???,1.0,True
idiot,1.0,True
idiot,1.0,True
you red piece of shit,1.0,True
shit,2.0,True
gg arty idiot,1.0,True
platoon 1 is dumb,1.0,True
total stupid spots,2.0,True
t34 go to hell and uninstal\,1.0,True
stupid fool STA,1.0,True
gg holy shit,2.0,True
how could you can be sow retard ...f you idiot,1.0,True
EBR what the hell do you spot braindead?&quot;,1.0,True
move you f braindead for spot idiot,1.0,True
idiot AMX,1.0,True
shit.....,2.0,True
idiot,1.0,True
fuck up,2.0,True
stupid kids,1.0,True
